smiles,formula,precusor_mz,level,mz,
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,C10H2F16O4,488.9624801,1,39.005181472 68.99575966 118.9925661 168.98937254 230.98617898 330.97979186 380.9765983,380.9765983 118.9925661 168.98937254 230.98617898 39.005181472 330.97979186 68.99575966
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,C12H2F20O4,588.9560929,1,39.005181472 118.9925661 168.98937254 218.98617898 280.98298542 330.97979186 480.97021118,480.97021118 168.98937254 118.9925661 330.97979186 280.98298542 218.98617898 39.005181472
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,C10H2F16O4,488.9624801,1,118.9925661 168.98937254 611.96222728 488.962485032,488.962485032 118.9925661 168.98937254 611.96222728
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,C13H2F22O4,638.9528994,2b,118.9925661 168.98937254 218.98617898 280.98298542 330.97979186 380.9765983 530.96701762 638.952904352,638.952904352 530.96701762 168.98937254 280.98298542 118.9925661 330.97979186 218.98617898 380.9765983 
O=C(O)C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,C13H3F21O4,620.9623212,3,242.98617898 292.98298542 342.97979186 492.97021118,292.98298542 242.98617898 342.97979186 492.97021118
O=C(O)C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H2F18O2,494.9694573,3,118.9925661 168.98937254 430.97340474,430.97340474 118.9925661 168.98937254
O=C(O)C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H2F18O2,494.9694573,3,118.9925661 168.98937254 218.98617898 230.98617898 280.98298542 430.97340474,430.97340474 118.9925661 168.98937254 280.98298542 230.98617898 218.98617898
O=C(O)C(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)(F)CC(F)F,C12H12F12O2,415.0572883,2b,191.011409724 211.017637976 231.023866228 251.03009448 271.036322732 291.04255098399994 311.048779236 331.055007488,251.03009448 231.023866228 211.017637976 271.036322732 291.04255098399994 191.011409724 331.055007488 311.048779236
O=C(O)C(F)(F)CC(F)(F)CC(F)F,C6H6F6O2,223.0199188,2a,78.99895322 99.005181472 119.011409724 139.017637976 159.023866228 142.995010712 163.001238964 183.007467216 203.013695468 223.01992372,99.005181472 119.011409724 78.99895322 139.017637976 159.023866228 163.001238964 203.013695468 142.995010712 223.01992372 183.007467216
O=C(O)C(F)(F)CC(F)(F)CC(F)F,C6H6F6O2,223.0199188,2b,78.99895322 99.005181472 119.011409724 139.017637976 159.023866228 163.001238964 183.007467216 203.013695468 223.01992372,99.005181472 119.011409724 78.99895322 203.013695468 223.01992372 139.017637976 159.023866228 163.001238964 183.007467216
O=C(O)C(F)(OC(F)(F)F)C(F)(F)F,C4HF7O3,228.9741114,3,184.98428716 228.97411639999999,184.98428716 228.97411639999999
O=C(O)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F,C5HF9O3,278.9709179,2b,234.9810936 278.97092283999996,234.9810936 278.97092283999996
O=C(O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,C6HF11O3,328.9677243,1,168.98937254 284.97790003999995 328.96772927999996,168.98937254 284.97790003999995 328.96772927999996
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,C15HF29O3,778.9389823,2b,84.99067428000001 134.98748072 184.98428716 234.9810936 534.96193224 584.95873868 734.949158 778.93898724,778.93898724 84.99067428000001 134.98748072 734.949158 184.98428716 234.9810936 534.96193224 584.95873868 
O=C(O)C(F)(F)OC(F)(F)F,C3HF5O3,178.977305,3,84.99067428000001 134.98748072 150.98239534,84.99067428000001 134.98748072 150.98239534
O=C(O)COCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C10H5F15O3,456.9926373,3,92.99575966 134.98748072 180.98937254 242.98617898 292.98298542 342.97979186 358.97470647999995 378.980934732,378.980934732 242.98617898 292.98298542 180.98937254 92.99575966 134.98748072 358.97470647999995 342.97979186
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F,C11HF19O2,524.9600355,2b,118.9925661 168.98937254 230.98617898 280.98298542 330.97979186 480.97021118,480.97021118 118.9925661 168.98937254 330.97979186 230.98617898 280.98298542
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C12HF21O2,574.9568419,2b,118.9925661 168.98937254 218.98617898 280.98298542 330.97979186 380.9765983 530.96701762,530.96701762 168.98937254 118.9925661 218.98617898 330.97979186 380.9765983 280.98298542
O=C(O)C(F)(F)C(F)=C(F)C(F)=C(F)F,C6HF7O2,236.9791968,3,80.99575966 92.99575966 104.99575966 108.99067428000001 142.9925661 146.98748072 170.98748072 192.98937254,108.99067428000001 142.9925661 92.99575966 104.99575966 170.98748072 146.98748072 80.99575966 192.98937254
O=C(O)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)F,C8HF13O3,390.9645308,3,68.99575966 84.99067428000001 118.9925661 130.9925661 134.98748072 146.98748072 180.98937254 196.98428716 230.98617898 280.98298542,134.98748072 230.98617898 130.9925661 84.99067428000001 146.98748072 68.99575966 280.98298542 180.98937254 118.9925661 196.98428716
O=C(O)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)F,C8HF13O3,390.9645308,3,130.9925661 134.98748072 196.98428716 230.98617898 280.98298542 346.97470647999995,230.98617898 280.98298542 346.97470647999995 130.9925661 134.98748072 196.98428716
O=C(O)COC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)=CC(F)(F)F,C9H4F12O3,386.9896026,3,192.98937254 242.98617898 292.98298542 342.97979186 392.9765983 408.97151291999995 442.9933912359999,292.98298542 408.97151291999995 392.9765983  442.9933912359999 242.98617898 342.97979186 192.98937254
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,C10HClF18O2,528.9304849,3,34.969402679999995 62.988782459999996 118.9925661 218.98617898 484.94066064,34.969402679999995 484.94066064 62.988782459999996 118.9925661 218.98617898 
O=S(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C6HF13O2S,382.9416871,3,82.96085346000001 118.9925661 168.98937254,82.96085346000001 118.9925661 168.98937254
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(F)(F)(F)(F)F,C8HF21O3S2,606.8958985,2b,79.95736486 126.9646371 129.9541713 179.95097774 229.94778418 279.94459062 329.94139706 379.9382035 479.93181638 606.89590348,379.9382035 279.94459062 479.93181638 606.89590348 229.94778418 129.9541713 179.95097774 79.95736486 126.9646371 329.94139706 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)F,C4H2F8O3S,280.9524107,3,79.95736486 98.95576808 280.95241565199996,79.95736486 280.95241565199996 98.95576808 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)F,C4H2F8O3S,280.9524107,3,79.95736486 98.95576808 130.9925661 180.98937254 260.9461874,79.95736486 130.9925661 98.95576808 180.98937254 260.9461874
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)C(F)(F)F,C8H2F16O3S,480.9396364,3,79.95736486 98.95576808 118.9925661 129.9541713 168.98937254 180.98937254 229.94778418 280.98298542 330.97979186 380.9765983 410.93660672 460.93341316 480.939641412,480.939641412 460.93341316 79.95736486 98.95576808 118.9925661 380.9765983 229.94778418 330.97979186 168.98937254 180.98937254 129.9541713 280.98298542 410.93660672 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)F,C8HF15O3S,460.9334082,3,79.95736486 98.95576808 118.9925661 129.9541713 130.9925661 168.98937254 180.98937254 280.98298542 330.97979186 380.9765983,98.95576808 79.95736486 380.9765983 118.9925661 280.98298542 330.97979186 180.98937254 168.98937254 129.9541713 130.9925661 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF15O3S,460.9334082,3,79.95736486 98.95576808 118.9925661 168.98937254 129.9541713 229.94778418 230.98617898 280.98298542,79.95736486 98.95576808 230.98617898 118.9925661 129.9541713 168.98937254 229.94778418 280.98298542
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F,C8HF15O3S,460.9334082,3,79.95736486 98.95576808 118.9925661 168.98937254 230.98617898 380.9765983 460.93341316,79.95736486 460.93341316 98.95576808 230.98617898 168.98937254 118.9925661 380.9765983 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)F,C6HF13O4S,414.9315164,3,79.95736486 98.95576808 84.99067428000001 134.98748072 184.98428716,79.95736486 84.99067428000001 98.95576808 134.98748072 184.98428716
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,C7HF15O4S,464.9283228,3,79.95736486 78.98369708 98.95576808 118.9925661 134.98748072 464.92832778,79.95736486 98.95576808 464.92832778 134.98748072 118.9925661 78.98369708 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,C8HF17O5S,530.9200439,3,78.98369708 79.95736486 98.95576808 134.98748072 250.97600822,134.98748072 79.95736486 98.95576808 250.97600822 78.98369708 
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)C(F)=C(F)C(F)(F)F,C9H2F16O3S,492.9396364,3,79.95736486 98.95576808 130.9925661 142.9925661 192.98937254 242.98617898 292.98298542 342.97979186 422.93660672 442.942834972,79.95736486 98.95576808 130.9925661 142.9925661 192.98937254 242.98617898 292.98298542 342.97979186 422.93660672 442.942834972
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)=CF,C8H2F14O4S,458.9377446,3,82.96085346000001 98.95576808 192.98937254 258.98109359999995 278.987321852 458.93774959200005,258.98109359999995 278.987321852 192.98937254 82.96085346000001 458.93774959200005 98.95576808 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C(F)F,C8H2F14O4S,458.9377446,3,82.96085346000001 98.95576808 192.98937254 258.98109359999995 278.987321852 458.93774959200005,258.98109359999995 278.987321852 192.98937254 82.96085346000001 458.93774959200005 98.95576808 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)=C(F)C(F)F,C8H2F14O4S,458.9377446,3,82.96085346000001 98.95576808 192.98937254 258.98109359999995 278.987321852 458.93774959200005,258.98109359999995 278.987321852 192.98937254 82.96085346000001 458.93774959200005 98.95576808 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,C7H2F14O4S,446.9377446,2b,82.96085346000001 180.98937254 246.9810936 266.987321852,82.96085346000001 180.98937254 246.9810936 266.987321852
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,C8H2F16O4S,496.9345511,1,82.96085346000001 98.95576808 198.94938096 230.98617898 296.97790003999995 316.984128292 496.93455603200005,316.984128292 296.97790003999995 496.93455603200005 230.98617898 82.96085346000001 98.95576808 198.94938096 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,C10H2F20O4S,596.9281639,1,82.96085346000001 98.95576808 330.97979186 396.97151291999995 416.977741172 596.928168912,416.977741172 330.97979186 596.928168912 82.96085346000001 98.95576808 396.97151291999995 
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)C(F)F,C8H3F15O4S,478.9439729,2b,82.96085346000001 98.95576808 192.98937254 258.98109359999995 278.987321852 298.99355010399995 382.94397784399996,298.99355010399995 258.98109359999995 82.96085346000001 98.95576808 278.987321852 192.98937254 382.94397784399996
O=C(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,C8HF15O4S,476.9283228,3,79.95736486 98.95576808 82.96085346000001 130.9925661 180.98937254 260.9461874 360.93980028 410.93660672 476.92832778,360.93980028 79.95736486 98.95576808 476.92832778 82.96085346000001 130.9925661 180.98937254 260.9461874 410.93660672 
