LMID,Frag_Num,mz,Frag_int,smiles
LMFA00000047,296,79.0557 80.0577 81.0336 81.0703 82.0765 83.05 83.0866 84.054 84.2795 85.0287 85.0639 86.0665 87.0439 88.0485 89.0242 89.061 89.3239 91.0367 91.0539 91.4534 93.07 94.067 95.0505 95.088 97.0662 97.101 99.0443 99.0795 100.0437 101.0598 102.4279 103.0388 104.0427 105.0697 106.0481 106.0801 107.0626 107.0863 108.0903 108.3326 108.9954 109.0648 109.1017 109.191 109.2581 109.4306 110.0729 110.1056 111.0027 111.0445 111.0778 111.108 111.3178 112.0492 113.0614 114.0663 115.0771 117.0542 117.2283 118.07 120.0902 121.1036 123.0843 123.1171 123.1715 124.0551 124.1197 125.0993 125.2321 126.098 127.0765 127.1125 127.1633 127.4936 128.0766 128.1158 128.9879 129.0553 129.1169 129.1996 130.0585 131.0888 131.1351 133.1018 134.1048 135.0783 135.1082 141.1058 141.1283 142.1367 147.0127 147.066 147.2015 148.0402 148.0715 149.0735 149.2281 151.1129 152.1159 153.1214 153.9906 154.1129 163.1106 164.4828 164.9812 165.0424 165.0769 166.0793 167.0878 167.327 168.343 168.9796 169.0695 169.1243 169.1722 169.4379 170.1269 170.4384 170.4754 171.0705 172.0699 175.0601 183.0882 183.1574 184.0862 185.125 187.1342 187.4128 187.518 188.1372 189.078 190.0755 191.3943 193.1338 194.1903 195.085 197.2791 198.0539 199.0643 204.149 205.0911 205.1464 206.1485 207.0879 207.1458 209.0905 213.1482 214.1777 215.0943 217.073 218.0763 229.1395 231.1936 233.1081 235.0827 235.4877 241.1944 251.1072 256.1577 257.0727 261.1523 267.1632 268.2643 273.1837 274.2713 275.2039 279.0889 279.1558 281.1488 287.2406 290.036 291.2203 295.1797 295.2289 296.2787 296.3292 297.1712 297.3991 298.0903 298.1441 298.1758 299.1256 300.3938 301.2199 302.1213 309.0912 312.023 312.0634 313.2385 314.2462 314.446 314.9717 315.0988 315.1823 315.2388 315.3066 315.4827 316.1873 316.5257 317.177 317.224 319.9297 327.0913 329.2661 331.17 331.2547 332.2535 332.5127 333.1467 333.1925 333.4577 334.0411 334.0842 334.1933 335.193 337.2436 338.2423 339.182 351.1085 351.2039 352.2076 352.4324 353.193 355.2516 356.2532 357.1935 358.21 365.1983 367.1769 373.2597 374.27 376.2867 383.2124 385.1915 391.2639 394.2115 401.2174 403.1967 403.2216 419.154 419.2274 420.2348 422.2131 432.2785 437.0631 443.2572 456.2504 463.3485 465.2871 466.2909 473.3301 481.3554 483.2968 484.2397 484.3106 485.3028 499.3616 500.5412 501.31 502.2637 502.3067 503.3174 505.3584 515.9304 519.2192 519.2677 519.3176 520.3266 521.3459 523.3478 536.1683 537.3235 538.3155 541.3752 542.3516 559.3932 563.056 567.255 572.3247 587.3568 588.3185 589.3362 629.1706 644.2728 651.4088 669.3124 669.4163 669.4511 670.4233 687.4391 688.4423 689.466 704.2704 705.284 705.4493 723.4615,1.7527 0.23969 2.8858 6.1039 0.59241 8.3468 3.2971 1.1235 0.12121 6.6527 1.1126 0.29961 2.3873 0.45486 0.79805 0.59922 0.43852 0.46031 1.957 0.10622 3.2875 0.33774 3.0124 0.46984 0.57198 0.23015 8.3169 0.18794 0.73949 0.84844 0.37723 2.2947 0.23424 4.8932 0.29552 0.17704 0.34183 13.6676 1.1617 0.19475 0.39222 4.0611 100 0.15389 0.207 0.17159 0.28327 5.8206 0.14844 13.6254 0.47529 0.21926 0.15525 0.96828 0.68093 0.2751 0.4535 0.75038 0.35681 0.2465 0.21245 0.29825 2.0373 22.0403 0.23424 0.17432 1.5593 0.54883 0.33229 0.30914 1.5049 85.4172 0.13482 0.13619 0.26556 7.1879 0.2928 35.9122 0.33502 0.17159 2.3547 0.26965 0.13755 39.3496 2.6652 0.20564 0.57471 0.41945 1.1603 0.26148 0.25467 33.386 0.32821 0.18794 0.83482 0.18113 0.17159 61.9524 4.4369 0.29144 0.15798 0.25331 0.17023 0.25194 0.11984 0.27237 30.9769 1.1004 0.68229 0.11303 0.20019 0.16615 0.24105 44.1733 0.11167 0.19202 4.4043 0.143 0.20019 0.30642 0.20564 0.14844 2.4432 0.18249 0.41673 0.31867 40.4268 0.13074 0.11303 1.622 22.1929 0.37451 0.13482 0.25194 0.43988 0.35272 0.16342 0.28463 0.31867 0.19475 0.30778 2.5726 0.9533 4.4138 0.4712 0.30233 0.17704 0.1784 0.96283 3.7615 0.13619 0.15798 0.17977 0.45078 0.86887 0.12801 0.23152 0.3391 0.17023 0.2465 0.36634 0.24786 0.86206 0.34864 0.23424 0.20292 0.24105 0.15661 0.2179 0.19066 0.34183 0.2751 0.17432 1.1358 0.13346 0.15525 23.582 0.25467 0.19611 0.38677 2.4949 0.36362 0.14027 0.24513 0.23696 0.2179 0.24786 0.61011 1.498 0.19066 0.13891 0.30233 0.22607 57.2199 0.31459 0.16206 0.24105 6.2918 0.2751 0.44805 0.24105 0.17159 0.34591 0.20564 0.18521 0.4426 0.17704 0.16615 1.0255 41.8214 0.2356 0.17704 0.25739 4.2122 0.63054 0.69046 0.85389 0.44397 0.33774 22.9187 1.1658 0.12529 0.20973 2.4241 1.035 0.61011 0.31595 0.17023 0.38813 9.8612 1.5021 0.1321 0.25875 0.36634 0.19611 0.27237 1.9951 0.32276 0.37179 0.19475 0.91653 0.15525 0.2179 0.2465 0.26556 0.1144 0.14027 0.22879 1.9461 0.32004 0.23015 0.23833 4.0161 0.2928 1.7772 0.32685 1.1181 0.16751 6.3367 0.16478 2.2089 0.15798 0.22062 0.12938 0.48346 0.40447 9.1108 2.1014 0.24105 0.43988 0.19066 0.96556 0.54202 0.62101 0.29008 0.19883 0.11712 0.24241 0.17704 0.1893 0.18521 0.18521 0.16615 0.18657 0.36225 0.30233 0.39766 0.46848 0.36225 2.4513 0.27646 0.22334 0.18794 0.26693 2.0864 2.134,CCCCCC(O)CC(O)CC(=O)OC(CCCCC)CC(O)CC(=O)OC(CCCCC)CC(O)CC(=O)OCC(O)C(O)C(O)C(O)CO
LMFA00000048,85,79.0553 80.0571 81.0697 82.077 83.0866 84.0894 85.0296 85.0658 87.047 88.0493 89.0237 91.055 93.0695 94.0756 95.0498 95.0902 96.0521 99.0368 101.0591 103.2496 105.0361 105.0702 105.2023 107.0864 108.0893 109.0032 109.0663 109.1013 109.2584 110.0677 110.1046 110.2094 111.0287 113.061 113.0967 115.0793 123.0881 123.1167 124.1202 127.0753 127.1118 127.3023 128.1144 130.0848 133.0571 133.1016 134.1024 134.151 135.0235 135.0395 141.1242 147.2398 151.0857 151.112 151.1897 152.1146 153.1281 153.3223 154.3985 169.0994 169.1229 169.2933 169.9957 170.1245 187.0906 187.1332 188.1344 205.147 217.052 240.0545 243.095 270.0593 277.2145 337.2449 338.2334 348.2565 355.25 356.2531 373.1956 373.258 374.2642 375.2649 415.2595 441.285 559.3926,1.0177 0.83389 15.01 0.46633 5.1136 0.28715 0.50079 0.84078 0.59268 0.35377 1.0246 5.9383 1.1647 0.42269 1.3163 0.43647 0.23661 0.48471 0.36755 0.97632 0.2435 6.145 0.22513 16.1241 0.98091 0.43188 3.1012 100 0.25269 0.35377 6.3587 0.19297 0.30094 3.795 0.54674 0.38593 0.5743 26.5925 1.2083 2.017 70.5957 0.28026 4.2843 0.28026 0.54444 34.8166 1.3347 0.27796 0.27107 0.44796 1.9618 0.37215 0.39971 33.9252 0.24121 3.4849 0.45255 0.43417 0.4962 2.0032 42.1677 0.19986 0.30553 3.3218 0.50998 26.4134 3.0438 4.0959 0.38823 0.4135 0.39053 0.71214 0.22972 1.7068 0.2504 0.25499 5.2606 1.5024 0.33999 8.3136 1.6012 0.39742 0.28026 0.36755 0.27337,CCCCCC(O)CC(O)CC(=O)OC(CCCCC)CC(O)CC(=O)OC(CCCCC)CC(O)CC(=O)O
LMFA01010001,45,41.0382 41.063 43.0167 57.0704 57.1 57.1683 59.0493 67.0554 69.0704 71.0845 71.1021 72.0875 72.1087 75.0451 83.0488 83.0851 83.1034 89.0611 91.0519 95.0847 95.1093 103.0512 105.0686 107.0505 115.0575 124.1202 133.0618 133.1499 135.1179 137.0929 144.0923 148.1192 155.0839 165.0916 170.0104 173.1545 187.1489 187.1777 187.2009 191.0858 196.9953 210.1516 222.0625 229.0292 229.2188,31.8 1.9 20.2 100 3.6 0.9 13.4 14.5 57.4 14.7 1.4 27.9 2 12.8 10.3 18.7 1 11.3 16.8 18 1.7 2.5 7.1 8.6 22.3 9.2 2.2 3.7 40.2 6.2 17.8 8.5 6.5 8.9 19.2 4.9 22.9 1.9 1.7 21.2 4.9 4.1 4 8.2 1,CCCCCCCCCCCCCCCC(=O)O
LMFA01010001,30,41.0389 42.0442 43.017 43.0537 43.1965 43.2079 45.0337 53.0393 55.018 55.0444 55.0535 57.0687 69.0701 73.0626 73.1066 79.0551 89.2243 91.0516 107.0506 108.0896 122.0332 128.063 133.0297 135.0253 141.0716 159.1168 165.2587 171.0807 200.03 228.1576,28.9 27.4 60.7 100 6.8 5.7 57.7 62.4 44.8 3.2 71.3 23.1 36 34.7 1.4 44.9 3.4 12.2 27.6 22.5 19.7 37 37.2 10.2 43.4 5.5 10.3 18.4 46 4,CCCCCCCCCCCCCCCC(=O)O
LMFA01010001,49,35.1516 43.0528 55.0543 55.0755 57.0699 62.2225 69.0705 69.0958 71.0866 79.1125 83.0845 85.1014 85.1526 95.0849 97.0666 97.0991 103.0761 103.1146 111.0429 111.119 117.0939 133.2261 135.1178 137.1326 147.1146 147.14 149.132 153.1291 159.1214 159.1475 161.135 163.1482 165.0928 168.0934 170.0147 170.0774 173.1319 173.1572 175.1448 187.1474 198.0105 209.1869 211.1652 219.2043 221.1503 237.2206 239.1992 239.2314 257.2483,0.8 15.1 27 1.2 17.4 1 38.3 0.9 37.9 5.4 20.9 80 1.1 22.9 3.1 20.3 53.8 1.6 7.2 17.1 18.3 0.5 5.4 5.9 13.4 0.7 21.7 5.9 10.6 2.6 0.9 6.6 5.3 8.9 13.7 0.5 12.3 1.6 10.7 4.7 11.6 8.3 1 11.4 13.3 20.9 7.2 0.6 100,CCCCCCCCCCCCCCCC(=O)O
LMFA01010006,28,42.038 44.0553 47.0759 47.0768 47.0778 47.0787 47.0807 47.0816 47.0932 58.0323 75.073 75.0743 89.0934 89.0948 89.0961 89.0987 89.1 117.0786 117.0817 117.0832 117.0847 117.0862 117.0877 117.0893 117.0908 117.0923 117.0938 117.0953,0.87294 1.0184 21.4113 10.4025 2.9098 0.96993 3.8797 0.96993 1.0184 0.87294 1.0184 1.0184 1.0184 1.0184 1.0184 2.0369 1.0184 1.0184 5.0679 5.1406 4.0495 4.0495 5.0679 3.031 2.0369 2.0369 2.0369 1.0184,CCCCCC(=O)O
LMFA01010006,2,89.0906 117.0853,10.1963 100,CCCCCC(=O)O
LMFA01010009,10,55.054 57.0701 59.0492 65.0381 69.033 71.0492 73.0651 74.0359 75.0441 77.038,100 48.8889 30.7407 17.7778 6.6667 34.8148 8.1481 8.5185 27.4074 14.0741,CCCCCCCCC(=O)O
LMFA01010009,17,59.0488 65.0381 67.054 69.0695 71.0489 71.0853 73.029 75.0439 81.0696 83.0486 87.0439 89.0594 93.0694 95.0855 97.1002 103.0744 159.1394,12.5691 1.2569 21.1161 90.3972 29.7134 23.4289 6.0835 49.0196 37.2549 13.7255 3.4691 100 6.9884 6.6868 2.8155 15.6863 1.1061,CCCCCCCCC(=O)O
LMFA01010009,33,47.0855 57.0693 59.049 67.054 69.0693 71.0486 71.085 73.0288 73.0649 75.0436 79.0548 81.0696 83.0492 83.085 85.0646 85.1004 87.044 89.0594 93.0692 95.0862 97.0643 97.1013 98.0686 99.0812 101.0596 103.0749 111.0813 111.1177 115.0188 117.0907 139.1121 148.0515 159.1372,0.27995 6.323 1.5252 4.5661 13.148 2.9153 27.8405 0.25099 2.1527 10.2423 0.20272 8.5047 10.5802 4.4599 1.2646 1.5349 4.9522 100 0.48267 0.4344 3.6683 2.0272 0.76262 0.22203 4.344 30.3601 0.53094 0.48267 0.17376 3.1374 0.40544 0.46337 91.3602,CCCCCCCCC(=O)O
